group,english,turkish,notes,notes_tr
Agents,agent loop,ajan döngüsü,"a while-loop around a model with tools: the model chooses an action, the runtime executes it, the result is appended, repeat until the model stops calling tools","araçları olan bir modelin çevresindeki bir while döngüsü: model bir eylem seçiyor, çalışma zamanı onu yürütüyor, sonuç ekleniyor, model araç çağırmayı bırakana kadar tekrar"
Agents,code mode,kod kipi,"giving an agent a sandboxed interpreter instead of a fixed tool list, trading a readable whitelist for composability",bir ajana sabit bir araç listesi yerine kum havuzunda bir yorumlayıcı vermek; okunabilir bir izin listesini birleştirilebilirlikle takas etmek
Agents,compaction,sıkıştırma,"summarising or dropping parts of an agent's transcript so the context stops growing; lossy, and you choose the loss before knowing what will be needed","bağlamın büyümesi dursun diye bir ajanın transkriptinin parçalarını özetlemek ya da düşürmek; kayıplı ve kayıp, neye ihtiyaç duyulacağını bilmeden önce seçiliyor"
Agents,context isolation,bağlam yalıtımı,"running a read-heavy sub-task in its own window and returning only its conclusion, so the parent's context never carries what it read — the reading is still paid for, by the sub-agent","okuma ağırlıklı bir alt görevi kendi penceresinde çalıştırıp yalnızca sonucunu döndürmek; böylece okunan şey ebeveynin bağlamına hiç girmiyor — okumanın bedeli yine ödeniyor, alt ajan tarafından"
Agents,dead-letter queue,dead-letter queue ◆,"where a task that keeps failing lands so a person reads it, instead of retrying forever or vanishing","tekrar denemelere rağmen işlenemeyen bir görevin, sonsuza dek yeniden denenmek ya da kaybolmak yerine bir insanın okuması için düştüğü yer; *ölü mektup* değil"
Agents,effective context length,etkin bağlam uzunluğu,"the length at which a model still performs, as opposed to the length it accepts; routinely far shorter than the advertised window",modelin kabul ettiği uzunluğun aksine hâlâ performans gösterdiği uzunluk; rutin olarak ilan edilen pencereden çok daha kısa
Agents,guardrail,korkuluk,"a runtime check that reduces accidental harm; not a security boundary, which is @sec-agent-security's distinction",kazara zararı azaltan bir çalışma zamanı kontrolü; bir güvenlik sınırı değildir
Agents,handoff,handoff ◆,"a coordinator passes the conversation itself to another agent, which now owns it; unlike delegation, nothing is left to summarise or reject what the second agent does",koordinatörün konuşmanın kendisini başka bir ajana devretmesi; artık konuşmanın sahibi o ajan. Delegation'dan farkı: ikinci ajanın yaptığını özetleyecek ya da reddedecek kimse kalmıyor
Agents,idempotency,idempotency ◆,a call that can be repeated without repeating its effect; what makes a retried agent step safe,"etkisini tekrarlamadan yinelenebilen bir çağrı; yeniden denenen bir ajan adımını güvenli kılan şey. *Etkisiz* demek değildir: çağrının etkisi bir kez gerçekleşir, tekrarı yeni etki eklemez"
Agents,parallel tool calling,paralel araç çağırma,"a model emitting several tool calls in one turn, which collapses many loop iterations into one and is often one of the largest levers on agent cost when the calls are independent",bir modelin tek bir sırada birkaç araç çağrısı çıkarması; birçok döngü yinelemesini bire indiriyor ve çağrılar bağımsızsa çoğu zaman ajan maliyeti üzerindeki en büyük kollardan biri
Agents,progressive disclosure,kademeli açılım,"loading only the tool definitions relevant to a step instead of all of them, so a large tool surface does not tax every call",bir adımda hepsini değil yalnızca o adımla ilgili araç tanımlarını yüklemek; böylece büyük bir araç yüzeyi her çağrıyı vergilendirmiyor
Agents,prompt injection,prompt enjeksiyonu,"instructions planted in content the model reads, which it cannot distinguish from your own",modelin okuduğu içeriğe yerleştirilmiş ve kendi talimatlarınızdan ayırt edemediği yönergeler
Agents,step cap,adım bütçesi,the maximum number of loop iterations; not a tuning parameter but an admission that the loop's exit is a model decision and may never be taken,"azami döngü yinelemesi sayısı; bir ayar parametresi değil, döngünün çıkışının bir model kararı olduğunun ve hiç alınmayabileceğinin itirafı"
Agents,tool call,araç çağrısı,"a structured request the model emits — a function name and arguments — which the runtime, not the model, decides whether to execute",modelin çıkardığı yapılandırılmış bir istek — bir işlev adı ve argümanlar — ki onu yürütüp yürütmeyeceğine model değil çalışma zamanı karar veriyor
Agents,tool schema,araç şeması,"the name, description, types and enums a model sees; prompt text rather than documentation, because the model gets one shot from it and cannot check a guess","bir modelin gördüğü ad, açıklama, türler ve enum'lar; dokümantasyon değil prompt metni, çünkü model ondan tek atış alıyor ve bir tahmini kontrol edemiyor"
Agents,trajectory,trajectory ◆,"the sequence of decisions, tool calls, observations and retries that led an agent to its answer; two runs can share the answer and differ in the trajectory","bir ajanı cevabına götüren kararlar, araç çağrıları, gözlemler ve yeniden denemeler dizisi; iki koşu aynı cevaba farklı trajectory'lerle varabilir. *Yörünge* değil"
Annotation and data quality,adjudication,uzlaştırma,a third pass that settles disagreements between two annotators,iki etiketleyici arasındaki uyuşmazlıkları çözen üçüncü bir geçiş
Annotation and data quality,annotation guideline,etiketleme kılavuzu,the written rules that make labels reproducible by someone else,etiketleri başkası tarafından yeniden üretilebilir kılan yazılı kurallar
Annotation and data quality,class imbalance,sınıf dengesizliği,"one label dominates, so accuracy has to be read against the majority-class baseline","bir etiket baskın, dolayısıyla doğruluğun çoğunluk sınıfı tabanına karşı okunması gerekiyor"
Annotation and data quality,Cohen's kappa,Cohen kappa ◆,agreement corrected for how much chance alone would produce,yalnızca şansın üreteceği kadarına göre düzeltilmiş uyum
Annotation and data quality,deduplication,tekilleştirme,removing near-identical documents; *yinelenen ayıklama* also seen,neredeyse özdeş belgeleri kaldırmak; *yinelenen ayıklama* da görülür
Annotation and data quality,gold standard,altın standart,the labels treated as correct when scoring a model,bir model puanlanırken doğru sayılan etiketler
Annotation and data quality,ground truth,referans etiketler,"the labels treated as correct when scoring; manufactured by people and processes, not discovered","puanlamada doğru kabul edilen etiketler; keşfedilmez, insanlar ve süreçler tarafından üretilir"
Annotation and data quality,inter-annotator agreement (IAA),etiketleyiciler arası uyum,how often two annotators independently pick the same label,iki etiketleyicinin bağımsız olarak aynı etiketi ne sıklıkla seçtiği
Annotation and data quality,label leakage,etiket sızıntısı,a feature that encodes the answer; inflates scores until deployment,cevabı kodlayan bir öznitelik; dağıtıma kadar puanları şişiriyor
Annotation and data quality,label noise,etiket gürültüsü,labels that disagree with the text they describe; concentrates at the top of a confidence-sorted error list,betimledikleri metinle uyuşmayan etiketler; güvene göre sıralanmış bir hata listesinin tepesinde yoğunlaşıyor
Annotation and data quality,model card,model kartı,the short document stating what a model was trained on and where not to use it,bir modelin ne üzerinde eğitildiğini ve nerede kullanılmaması gerektiğini belirten kısa belge
Annotation and data quality,out-of-fold prediction,out-of-fold kestirim ◆,"each training row is predicted by a model that never saw it, so confident disagreements flag labels worth reading",her eğitim satırı onu hiç görmemiş bir modelce tahmin edilir; modelin emin olduğu itirazlar okunmaya değer etiketleri gösterir
Annotation and data quality,provenance,provenance ◆,"where a record came from and when: source, date, licence, the event that produced it and how confident the extractor was","bir kaydın nereden ve ne zaman geldiği: kaynak, tarih, lisans, onu üreten olay ve çıkarıcının ne kadar emin olduğu"
Decoding and structured output,abstention,çekimserlik,"refusing to answer when confidence is low, so the answers you do give are more reliable; needs a score to threshold on",güven düşükken cevaplamayı reddetmek; böylece verdiğiniz cevaplar daha güvenilir oluyor; eşik konacak bir puan gerektiriyor
Decoding and structured output,constrained decoding,kısıtlı kod çözme,"masking the logits at each step to the tokens a grammar allows, so invalid output becomes unreachable rather than unlikely",her adımda logitleri bir dilbilgisinin izin verdiği token'lara maskelemek; böylece geçersiz çıktı olası olmayan değil erişilemez oluyor
Decoding and structured output,decoding,kod çözme,"turning the model's per-step scores into actual tokens; *çözümleme* would be *analysis*, a different operation","modelin adım başına puanlarını gerçek token'lara çevirmek; *çözümleme* *analysis* demek olurdu, başka bir işlem"
Decoding and structured output,logprob,log olasılık,"the log probability the model assigned to a token; the cheapest confidence signal available. Cleanest when the answer is one token — over several tokens the conditional log probabilities add, and sums over different lengths or tokenizations are defined but not comparable at face value",modelin bir token'a verdiği log olasılık; mevcut en ucuz güven sinyali. En temiz hâli cevabın tek token olduğu durum — birkaç token üzerinde koşullu log olasılıklar toplanır ve farklı uzunluk ya da tokenlaştırmalardaki toplamlar tanımlıdır ama doğrudan karşılaştırılamaz
Decoding and structured output,min-p,min-p ◆,"a cutoff scaled to the top token's probability rather than to a fixed mass, so it adapts to how peaked the distribution is","sabit bir kütleye değil, en üst token'ın olasılığına ölçeklenen bir kesim; böylece dağılımın ne kadar sivri olduğuna uyum sağlıyor"
Decoding and structured output,structured output,yapılandırılmış çıktı,output constrained to a schema rather than merely requested in prose,"düzyazıyla rica edilen değil, bir şemaya kısıtlanmış çıktı"
Evaluation,benchmark contamination,ölçüt bulaşması,"test items that were in a model's training data, so the score reports memorisation rather than capability",bir modelin eğitim verisinde bulunan test maddeleri; dolayısıyla puan yeteneği değil ezberi raporluyor
Evaluation,position bias,konum yanlılığı,a judge preferring whichever candidate it was shown first; measured by running the same comparison in both orders and counting the flips,"bir hakemin, hangi aday önce gösterildiyse onu tercih etmesi; aynı karşılaştırmayı iki sırada da koşup dönüşleri sayarak ölçülüyor"
Evaluation,statistical power,istatistiksel güç,the probability that an evaluation detects a real difference of a given size; what decides how many items an eval set needs,"bir değerlendirmenin, verilen boyutta gerçek bir farkı saptama olasılığı; bir değerlendirme kümesinin kaç madde gerektirdiğine karar veren şey"
Evaluation and serving,average precision (AP),ortalama kesinlik (AP) ◆,"a weighted mean of precision at each threshold where recall increases; a summary of the precision-recall curve rather than its trapezoidal area, and unlike AUC it moves with the class balance, so quote the base rate beside it","duyarlılığın arttığı her eşikteki kesinliğin ağırlıklı ortalaması; kesinlik-duyarlılık eğrisinin yamuk alanı değil bir özeti ve AUC'nin aksine sınıf dengesiyle birlikte kımıldıyor, dolayısıyla yanında taban oranını da aktarın"
